"KABUPATEN_ID","KABUPATEN_CODE","KABUPATEN_NAME","PROPINSI_ID"
"239","16","Kab. Mojokerto","15"
"240","17","Kab. Jombang","15"
"241","18","Kab. Nganjuk","15"
"242","19","Kab. Madiun","15"
"243","20","Kab. Magetan","15"
"244","21","Kab. Ngawi","15"
"245","22","Kab. Bojonegoro","15"
"246","23","Kab. Tuban","15"
"247","24","Kab. Lamongan","15"
"248","25","Kab. Gresik","15"
"249","26","Kab. Bangkalan","15"
"250","27","Kab. Sampang","15"
"251","28","Kab. Pamekasan","15"
"252","29","Kab. Sumenep","15"
"253","71","Kota Kediri","15"
"254","72","Kota Blitar","15"
"255","73","Kota Malang","15"
"256","74","Kota Probolinggo","15"
"257","75","Kota Pasuruan","15"
"258","76","Kota Mojokerto","15"
"259","77","Kota Madiun","15"
"260","78","Kota Surabaya","15"
"261","79","Kota Batu","15"
"262","1","Kab. Pandeglang","16"
"263","2","Kab. Lebak","16"
"264","3","Kab. Tangerang","16"
"265","4","Kab. Serang","16"
"266","71","Kota Tangerang","16"
"267","72","Kota Cilegon","16"
"268","73","Kota Serang","16"
"269","74","Kota Tangerang Selatan","16"
"270","1","Kab. Jembrana","17"
"271","2","Kab. Tabanan","17"
"272","3","Kab. Badung","17"
"273","4","Kab. Gianyar","17"
"274","5","Kab. Klungkung","17"
"275","6","Kab. Bangli","17"
"276","7","Kab. Karangasem","17"
"277","8","Kab. Buleleng","17"
"278","71","Kota Denpasar","17"
"279","1","Kab. Lombok Barat","18"
"280","2","Kab. Lombok Tengah","18"
"281","3","Kab. Lombok Timur","18"
"282","4","Kab. Sumbawa","18"
"283","5","Kab. Dompu","18"
"284","6","Kab. Bima","18"
"285","7","Kab. Sumbawa Barat","18"
"286","8","Kab. Lombok Utara","18"
"287","71","Kota Mataram","18"
"288","72","Kota Bima","18"
"289","1","Kab. Kupang","19"
"290","2","Kab. Timor Tengah Selatan","19"
"291","3","Kab. Timor Tengah Utara","19"
"292","4","Kab. Belu","19"
"293","5","Kab. Alor","19"
"294","6","Kab. Flores Timur","19"
"295","7","Kab. Sikka","19"
"296","8","Kab. Ende","19"
"297","9","Kab. Ngada","19"
"298","10","Kab. Manggarai","19"
"299","11","Kab. Sumba Timur","19"
"300","12","Kab. Sumba Barat","19"
"301","13","Kab. Lembata","19"
"302","14","Kab. Rote Ndao","19"
"303","15","Kab. Manggarai Barat","19"
"304","16","Kab. Nagekeo","19"
"305","17","Kab. Sumba Tengah","19"
"306","18","Kab. Sumba Barat Daya","19"
"307","19","Kab. Manggarai Timur","19"
"308","20","Kab. Sabu Raijua","19"
"309","21","Kota Kupang","19"
"310","1","Kab. Sambas","20"
"311","2","Kab. Mempawah","20"
"312","3","Kab. Sanggau","20"
"313","4","Kab. Ketapang","20"
"314","5","Kab. Sintang","20"
"315","6","Kab. Kapuas Hulu","20"
"316","7","Kab. Bengkayang","20"
"317","8","Kab. Landak","20"
"318","9","Kab. Sekadau","20"
"319","10","Kab. Melawi","20"
"320","11","Kab. Kayong Utara","20"
"321","12","Kab. Kubu Raya","20"
"322","71","Kota Pontianak","20"
"323","72","Kota Singkawang","20"
"324","1","Kab. Kotawaringin Barat","21"
"325","2","Kab. Kotawaringin Timur","21"
"326","3","Kab. Kapuas","21"
"327","4","Kab. Barito Selatan","21"
"328","5","Kab. Barito Utara","21"
"329","6","Kab. Katingan","21"
"330","7","Kab. Seruyan","21"
"331","8","Kab. Sukamara","21"
"332","9","Kab. Lamandau","21"
"333","10","Kab. Gunung Mas","21"
"334","11","Kab. Pulang Pisau","21"
"335","12","Kab. Murung Raya","21"
"336","13","Kab. Barito Timur","21"
"337","71","Kota Palangkaraya","21"
"338","1","Kab. Tanah Laut","22"
"339","2","Kab. Kotabaru","22"
"340","3","Kab. Banjar","22"
"341","4","Kab. Barito Kuala","22"
"342","5","Kab. Tapin","22"
"343","6","Kab. Hulu Sungai Selatan","22"
"344","7","Kab. Hulu Sungai Tengah","22"
"345","8","Kab. Hulu Sungai Utara","22"
"346","9","Kab. Tabalong","22"
"347","10","Kab. Tanah Bumbu","22"
"348","11","Kab. Balangan","22"
"349","71","Kota Banjarmasin","22"
"350","72","Kota Banjarbaru","22"
"351","1","Kab. Paser","23"
"352","2","Kab. Kutai Kertanegara","23"
"353","3","Kab. Berau","23"
"354","4","Kab. Bulungan","23"
"355","5","Kab. Nunukan","23"
"356","6","Kab. Malinau","23"
"357","7","Kab. Kutai Barat","23"
"358","8","Kab. Kutai Timur","23"
"359","9","Kab. Penajam Paser Utara","23"
"360","10","Kab. Tana Tidung","23"
"361","71","Kota Balikpapan","23"
"362","72","Kota Samarinda","23"
"363","73","Kota Tarakan","23"
"364","74","Kota Bontang","23"
"365","1","Kab. Bolaang Mongondow","24"
"366","2","Kab. Minahasa","24"
"367","3","Kab. Kepulauan Sangihe","24"
"368","4","Kab. Kepulauan Talaud","24"
"369","5","Kab. Minahasa Selatan","24"
"370","6","Kab. Minahasa Utara","24"
"371","7","Kab. Minahasa Tenggara","24"
"372","8","Kab. Bolaang Mongondow Utara","24"
"373","9","Kab. Kep. Siau Tagulandang Biaro","24"
"374","10","Kab. Bolaang Mongondow Timur","24"
"375","11","Kab. Bolaang Mongondow Selatan","24"
"376","71","Kota Manado","24"
"377","72","Kota Bitung","24"
"378","73","Kota Tomohon","24"
"379","74","Kota Kotamobagu","24"
"380","1","Kab. Banggai","25"
"381","2","Kab. Poso","25"
"382","3","Kab. Donggala","25"
"383","4","Kab. Toli Toli","25"
"384","5","Kab. Buol","25"
"385","6","Kab. Morowali","25"
"386","7","Kab. Banggai Kepulauan","25"
"387","8","Kab. Parigi Moutong","25"
"388","9","Kab. Tojo Una Una","25"
"389","10","Kab. Sigi","25"
"390","71","Kota Palu","25"
"391","1","Kab. Kepulauan Selayar","26"
"392","2","Kab. Bulukumba","26"
"393","3","Kab. Bantaeng","26"
"394","4","Kab. Jeneponto","26"
"395","5","Kab. Takalar","26"
"396","6","Kab. Gowa","26"
"397","7","Kab. Sinjai","26"
"398","8","Kab. Bone","26"
"399","9","Kab. Maros","26"
"400","10","Kab. Pangkajene Kepulauan","26"
"401","11","Kab. Barru","26"
"402","12","Kab. Soppeng","26"
"403","13","Kab. Wajo","26"
"404","14","Kab. Sidenreng Rappang","26"
"405","15","Kab. Pinrang","26"
"406","16","Kab. Enrekang","26"
"407","17","Kab. Luwu","26"
"408","18","Kab. Tana Toraja","26"
"409","22","Kab. Luwu Utara","26"
"410","24","Kab. Luwu Timur","26"
"411","26","Kab. Toraja Utara","26"
"412","71","Kota Makassar","26"
"413","72","Kota Pare Pare","26"
"414","73","Kota Palopo","26"
"415","1","Kab. Kolaka","27"
"416","2","Kab. Konawe","27"
"417","3","Kab. Muna","27"
"418","4","Kab. Buton","27"
"419","5","Kab. Konawe Selatan","27"
"420","6","Kab. Bombana","27"
"421","7","Kab. Wakatobi","27"
"422","8","Kab. Kolaka Utara","27"
"423","9","Kab. Konawe Utara","27"
"424","10","Kab. Buton Utara","27"
"425","71","Kota Kendari","27"
"426","72","Kota Bau Bau","27"
"427","1","Kab. Gorontalo","28"
"428","2","Kab. Boalemo","28"
"429","3","Kab. Bone Bolango","28"
"430","4","Kab. Pahuwato","28"
"431","5","Kab. Gorontalo Utara","28"
"432","71","Kota Gorontalo","28"
"433","1","Kab. Mamuju Utara","29"
"434","2","Kab. Mamuju","29"
"435","3","Kab. Mamasa","29"
"436","4","Kab. Polewali Mandar","29"
"437","5","Kab. Majene","29"
"438","1","Kab. Maluku Tengah","30"
"439","2","Kab. Maluku Tenggara","30"
"440","3","Kab. Kep. Tanimbar","30"
"441","4","Kab. Buru","30"
"442","5","Kab. Seram Bagian Timur","30"
"443","6","Kab. Seram Bagian Barat","30"
"444","7","Kab. Kepulauan Aru","30"
"445","8","Kab. Maluku Barat Daya","30"
"446","9","Kab. Buru Selatan","30"
"447","71","Kota Ambon","30"
"448","72","Kota Tual","30"
"449","1","Kab. Halmahera Barat","31"
"450","2","Kab. Halmahera Tengah","31"
"451","3","Kab. Halmahera Utara","31"
"452","4","Kab. Halmahera Selatan","31"
"453","5","Kab. Kepulauan Sula","31"
"454","6","Kab. Halmahera Timur","31"
"455","7","Kab. Pulau Morotai","31"
"456","71","Kota Ternate","31"
"457","72","Kota Tidore Kepulauan","31"
"458","1","Kab. Merauke","32"
"459","2","Kab. Jayawijaya","32"
"460","3","Kab. Jayapura","32"
"461","4","Kab. Nabire","32"
"462","5","Kab. Kepulauan Yapen","32"
"463","6","Kab. Biak Numfor","32"
"464","7","Kab. Puncak Jaya","32"
"465","8","Kab. Paniai","32"
"466","9","Kab. Mimika","32"
"467","10","Kab. Sarmi","32"
"468","11","Kab. Keerom","32"
"469","12","Kab Pegunungan Bintang","32"
"470","13","Kab. Yahukimo","32"
"471","14","Kab. Tolikara","32"
"472","15","Kab. Waropen","32"
"473","16","Kab. Boven Digoel","32"
"474","17","Kab. Mappi","32"
"501","18","Kab. Pangandaran","12"
"502","11","Kab. Mahakam Ulu","23"
"505","3","Kab. Nunukan","34"
"506","4","Kab. Tana Tidung","34"
"507","71","Kota Tarakan","34"
"508","11","Kab. Banggai Laut","25"
"509","12","Kab. Morowali Utara","25"
"521","8","Kab. Pulau Taliabu","31"
"523","12","Kab. Pegunungan Arfak","33"
"515","11","Kab. Kolaka Timur","27"
"516","12","Kab. Konawe Kepulauan","27"
"520","6","Kab. Mamuju Tengah","29"
"475","18","Kab. Asmat","32"
"500","13","Kab. Pesisir Barat","8"
"476","19","Kab. Supiori","32"
"477","20","Kab. Mamberamo Raya","32"
"478","21","Kab. Mamberamo Tengah","32"
"479","22","Kab. Yalimo","32"
"480","23","Kab. Lanny Jaya","32"
"481","24","Kab. Nduga","32"
"482","25","Kab. Puncak","32"
"483","26","Kab. Dogiyai","32"
"484","27","Kab. Intan Jaya","32"
"485","28","Kab. Deiyaiuu","32"
"486","71","Kota Jayapura","32"
"487","1","Kab. Sorong","33"
"488","2","Kab. Manokwari","33"
"489","3","Kab. Fak Fak","33"
"490","4","Kab. Sorong Selatan","33"
"491","5","Kab. Raja Ampat","33"
"492","6","Kab. Teluk Bintuni","33"
"493","7","Kab. Teluk Wondama","33"
"494","8","Kab. Kaimana","33"
"495","9","Kab. Tambrauw","33"
"496","10","Kab. Maybrat","33"
"497","71","Kota Sorong","33"
"498","12","Kab. Penukal Abab Lematang I","6"
"518","14","Kab. Buton Tengah","27"
"519","15","Kab. Buton Selatan","27"
"504","2","Kab. Malinau","34"
"517","13","Kab. Muna Barat","27"
"522","11","Kab. Manokwari Selatan","33"
"499","13","Kab. Musi Rawas Utara","6"
"503","1","Kab. Bulungan","34"
"1","1","Kab. Aceh Selatan","1"
"2","2","Kab. Aceh Tenggara","1"
"3","3","Kab. Aceh Timur","1"
"4","4","Kab. Aceh Tengah","1"
"5","5","Kab. Aceh Barat","1"
"6","6","Kab. Aceh Besar","1"
"7","7","Kab. Pidie","1"
"8","8","Kab. Aceh Utara","1"
"9","9","Kab. Simeulue","1"
"10","10","Kab. Aceh Singkil","1"
"11","11","Kab. Bireuen","1"
